Top,Russian,Audio,English,Spanish,Example Russian 1,Example Russian 2,Example Russian 3,Audio 1,Audio 2,Audio 3,Example English 1,Example English 2,Example English 3,Example Spanish 1,Example Spanish 2,Example Spanish 3,Tag
15,она́,,she,ella,"Я видела, как она катается на велосипеде.",Она решила поехать в путешествие.,Каждое утро она пьет кофе.,,,,I saw her riding a bike.,She decided to go on a trip.,Every morning she drinks coffee.,La vi andar en bicicleta.,Ella decidió ir de viaje.,Cada mañana ella toma café.,pronoun
16,по,,to/by,por,Я отправлю тебе посылку.,Он поехал по работе.,Он купил книгу по астрономии.,,,,I will send you a package.,He went for work.,He bought a book on astronomy.,Te enviaré un paquete.,Él fue por trabajo.,Compró un libro sobre astronomía.,other
17,но,,but,pero,"Она устала, **но** продолжала идти.","Я хочу купить пирог, **но** мне нужно сэкономить деньги.","Он не говорит по-французски, **но** он учиться.",,,,"She was tired, **but** she kept walking.","I want to buy a pie, **but** I need to save money.","He doesn't speak French, **but** he is learning.","Ella estaba cansada, **pero** siguió caminando.","Quiero comprar un pastel, **pero** necesito ahorrar dinero.","Él no habla francés, **pero** está aprendiendo.",other
18,они́,,they,ellos/ellas,"Я видел, как они пели песню.","Она узнала, что они ушли.",Они предпочли обед в ресторане.,,,,I saw them singing a song.,She found out they left.,They preferred lunch at a restaurant.,Los vi cantando una canción.,Ella se enteró de que se fueron.,Prefirieron almorzar en un restaurante.,pronoun
19,к,,to,a,Он отправился к магазину.,Они подошли к двери.,Она написала письмо к другу.,,,,He went to the store.,They approached the door.,She wrote a letter to a friend.,Él fue al supermercado.,Ellos se acercaron a la puerta.,Ella escribió una carta a un amigo.,other
20,у,,at/near,en,Книга лежит у окна.,Магазин у школы закрыт.,Он живет у пруда.,,,,The book is by the window.,The store near the school is closed.,He lives by the pond.,El libro está cerca de la ventana.,La tienda cerca de la escuela está cerrada.,Él vive cerca del estanque.,other
21,ты,,you,tú,Я вижу тебя на улице.,Он помнит тебя из детства.,Тебя отметили как лучшего игрока.,,,,I see you on the street.,He remembers you from childhood.,You were recognized as the best player.,Te veo en la calle.,Él te recuerda desde la infancia.,Te reconocieron como el mejor jugador.,pronoun
22,из,,from,de,Она пришла из далекого города.,Из всех книг мне нравится эта.,Он выбрал из обилия продуктов.,,,,She came from a distant city.,"Out of all books, I like this one.",He chose from the abundance of products.,Ella vino de una ciudad distante.,"De todos los libros, éste me gusta.",Él eligió entre la abundancia de productos.,other
23,мы,,us,nosotros/nosotras,Мама позвонила нас спросить о планах.,Босс зовет нас на встречу.,Они не узнали нас в масках.,,,,Mom called us to ask about our plans.,The boss is calling us to a meeting.,They didn't recognize us with masks on.,Mamá nos llamó para preguntar acerca de nuestros planes.,El jefe nos llama a una reunión.,Ellos no nos reconocieron con máscaras.,pronoun
24,за,,for,por,Я заплатил за обед.,Он бежал за мной.,Они выступали за мир.,,,,I paid for lunch.,He ran after me.,They advocated for peace.,Pagué por la comida.,Él corría detrás de mí.,Ellos abogaban por la paz.,other
25,вы,,you,usted,Я вижу вас сейчас.,Он ждет вас на улице.,Она хочет вас познакомить.,,,,I see you now.,He is waiting for you outside.,She wants to introduce you.,Te veo ahora.,Él está esperándote afuera.,Ella quiere presentarte.,pronoun
26,так,,so,tan,"Он был очень устал, так он спал.","Я не мог понять, почему он так грустит.",Не все люди понимают такие жесты.,,,,"He was so tired, so he slept.",I couldn't understand why he was so sad.,Not all people understand such gestures.,Estaba tan cansado que se durmió.,No podía entender por qué estaba tan triste.,No toda la gente entiende esos gestos tan.,adverb
27,же,,also,también,"Я же сказал, что не хочу идти.","Ты же сам видишь, что невозможно.",Она же всегда помогает.,,,,"I said I don't want to go, after all.",You can see for yourself it's impossible.,"She always helps, after all.","Dije que no quiero ir, después de todo.",Puedes ver por ti mismo que es imposible.,"Ella siempre ayuda, después de todo.",other
28,от,,from,desde,Он уехал от дома.,Они поздоровались от друг друга.,В этом городе отличный вид.,,,,He left from home.,They greeted each other from afar.,This city has an excellent view.,Él se fue desde casa.,Se saludaron desde lejos.,Esta ciudad tiene una vista excelente.,other
29,сказа́ть,,to say,decir,"Я сказа́л ""да"".",Вы сказа́ли правду.,Она сказа́ла прошлый раз.,,,,"I said ""yes"".",You said the truth.,She said last time.,"Dije ""sí"".",Ustedes dijeron la verdad.,Ella dijo la última vez.,verb
30,э́тот,,this,esta,Мне понравился цвет этой рубашки.,Гости на вечеринке заметили этой девушке.,Мы встретились со старой соседкой этой женщины.,,,,I liked the color of this shirt.,The guests at the party noticed this girl.,We met the old neighbor of this woman.,Me gustó el color de esta camisa.,Los invitados en la fiesta notaron a esta chica.,Nos encontramos con la antigua vecina de esta mujer.,pronoun
31,кото́рый,,which,que,"Я выбрал книгу, в которой кото́рый главный герой - волшебник.","Это фильм, в исполнении кото́рого играли знаменитые актеры.","У меня есть книга, в которой есть страницы, на кото́рых написаны важные заметки.",,,,I chose a book in which the main character is a wizard.,It's a movie in which famous actors starred.,I have a book with pages on which important notes are written.,Elegí un libro en el que el personaje principal sea un mago.,Es una película en la que actuaron actores famosos.,Tengo un libro con páginas en las que están escritas notas importantes.,pronoun
32,мочь,,can,poder,Ты можешь сделать это лучше.,Мы можем пойти в кино сегодня.,Он не смог прийти на встречу вчера.,,,,You can do it better.,We can go to the cinema today.,He couldn't come to the meeting yesterday.,Tú puedes hacerlo mejor.,Podemos ir al cine hoy.,Él no pudo venir a la reunión ayer.,verb
33,челове́к,,person,persona,Этот человек улыбается.,Мой друг - талантливый человек.,Человек путешествует по всему миру.,,,,This person is smiling.,My friend is talented.,The person travels around the world.,Esta persona está sonriendo.,Mi amigo es talentoso.,La persona viaja por todo el mundo.,noun
34,о,,about,sobre,Я расскажу о своем путешествии.,Мы думаем о будущем.,Он спорил о важности знаний.,,,,I will tell about my trip.,We think about the future.,He argued about the importance of knowledge.,Hablaré acerca de mi viaje.,Pensamos en el futuro.,Él discutió sobre la importancia del conocimiento.,other
35,оди́н,,one,uno,У меня есть оди́н брат.,Тут на одиночку скучно.,Она гуляла одна по городу.,,,,I have one brother.,It's boring to be alone.,She was walking alone in the city.,Tengo un hermano.,Estar solo es aburrido.,Ella caminaba sola por la ciudad.,numeral
36,ещё,,still/yet,todavía/aún,Я ещё не видел этот фильм.,Он ещё спит.,Ещё немного и мы придём на место.,,,,I haven't seen this movie yet.,He is still sleeping.,We'll be there in a little while.,Todavía no he visto esta película.,Él todavía está durmiendo.,Estaremos allí en un rato.,other
37,бы,,was,fue,Она была счастлива в детстве.,Я был готов к этому испытанию.,Если бы он знал правду...,,,,She was happy in her childhood.,I was prepared for this challenge.,If he only knew the truth...,Ella fue feliz en su infancia.,Yo estaba preparado para este desafío.,Si él supiera la verdad...,other
38,тако́й,,such,tal,У него был тако́й красивый дом.,Я видел тако́е красивое место.,Он подарил мне тако́е интересное кольцо.,,,,He had such a beautiful house.,I saw such a beautiful place.,He gave me such an interesting ring.,Él tenía una casa tan hermosa.,Vi un lugar tan hermoso.,Me regaló un anillo tan interesante.,adjective
39,то́лько,,only,solo,Я купил то́лько хлеб.,Он говорил то́лько правду.,То́лько ты сможешь это сделать.,,,,I only bought bread.,He only spoke the truth.,Only you can do this.,Solo compré pan.,Él solo hablaba la verdad.,Solo tú benefits.,other
40,себя́,,oneself,sí mismo,Она всегда ставит себя на первое место.,Он обвиняет себя во всех проблемах.,Я научился слушать себя.,,,,She always puts herself first.,He blames himself for all the problems.,I learned to listen to myself.,Siempre se pone a sí misma en primer lugar.,Él se culpa a sí mismo de todos los problemas.,Aprendí a escucharme a mí mismo.,pronoun
41,своё,,one's own,propio,У неё было своё мнение по этому поводу.,Каждый должен искать своё счастье.,Нельзя забывать о своём прошлом.,,,,She had her own opinion on the matter.,Everyone should seek their own happiness.,One must not forget about their own past.,Ella tenía su propia opinión sobre el asunto.,Todos deben buscar su propia felicidad.,No se debe olvidar el propio pasado.,pronoun
42,како́й,,which,cuál,На какую ты сортировку решился?,"У неё много вариантов, какие ей подходят.",Каким из них вы выберете?,,,,Which sorting method did you choose?,"She has many options, which ones suit her.",Which one will you choose?,¿En qué tipo de clasificación te decidiste?,"Ella tiene muchas opciones, ¿cuáles le convienen?",¿Cuál elegirán ustedes?,pronoun
43,когда́,,when,cuando,"Я всегда смеюсь, когда смотрю комедии.","Он придет к тебе, когда закончит работу.","Когда я видела его, он улыбался.",,,,I always laugh when I watch comedies.,He will come to you when he finishes work.,"When I saw him, he was smiling.",Siempre me rio cuando veo comedias.,Él vendrá a ti cuando termine el trabajo.,"Cuando lo vi, él estaba sonriendo.",other
44,уже́,,already,ya,Он уже пришёл домой.,Мы уже посмотрели этот фильм.,Я уже закончил свою часть работы.,,,,He has already come home.,We have already watched this movie.,I have already finished my part of the work.,Él ya ha llegado a casa.,Ya hemos visto esta película.,Ya he terminado mi parte del trabajo.,adverb
45,для,,for,para,Я приготовил подарок для своей сестры.,Мы купили билеты для поездки.,Он закрыл окно для того чтобы спать в тишине.,,,,I prepared a gift for my sister.,We bought tickets for the trip.,He closed the window to sleep in silence.,Preparé un regalo para mi hermana.,Compramos boletos para el viaje.,Él cerró la ventana para dormir en silencio.,other
46,вот,,here/this,aquí/esto,Вот твоя книга.,Вот он приходит.,Вот они празднуют.,,,,Here is your book.,Here he comes.,Here they are celebrating.,Aquí está tu libro.,Aquí viene él.,Aquí están celebrando.,other
47,кто,,who,quien,Я спросил у кого-то на улице.,Знаешь кого это интересует?,"Думаю, кого-то встретили.",,,,I asked someone on the street.,Do you know who is interested in this?,I think they met someone.,Le pregunté a alguien en la calle.,¿Sabes quién está interesado en esto?,Creo que conocieron a alguien.,pronoun
48,да,,yes,sí,Ты идешь с нами на прогулку?,"- Да, конечно!","- Да, я уже понял.",,,,Are you coming for a walk with us?,"- Yes, of course!","- Yes, I already understood.",¿Vas a venir a pasear con nosotros?,"- ¡Sí, por supuesto!","- Sí, ya entendí.",other
49,говори́ть,,to speak,hablar,Я говорю по-английски.,Мы говорим о своих планах.,Он говорил о своем детстве.,,,,I speak English.,We discuss our plans.,He talked about his childhood.,Yo hablo inglés.,Nosotros hablamos de nuestros planes.,Él hablaba de su infancia.,verb
50,год,,year,año,Этот год был насыщен событиями.,Я провел учебный год в университете.,"Береги день, береги год.",,,,This year was filled with events.,I spent an academic year at university.,"Take care of the day, take care of the year.",Este año estuvo lleno de eventos.,Pasé un año académico en la universidad.,"Cuida el día, cuida el año.",noun
51,знать,,to know,saber,Я знаю твои секреты.,"Мы знаем, что произошло.",Она знала ответ на вопрос.,,,,I know your secrets.,We know what happened.,She knew the answer to the question.,Sé tus secretos.,Sabemos lo que pasó.,Ella sabía la respuesta a la pregunta.,verb
52,мой,,my,mi,Я прочитал мою любимую книгу.,Моя сестра пригласила меня на ужин.,Моему другу нужна помощь.,,,,I read my favorite book.,My sister invited me for dinner.,My friend needs help.,Leí mi libro favorito.,Mi hermana me invitó a cenar.,Mi amigo necesita ayuda.,pronoun
53,до,,to,hasta,Я пройду до конца улицы.,До завтра!,Они спать до утра.,,,,I will walk to the end of the street.,Until tomorrow!,They will sleep until morning.,Caminaré hasta el final de la calle.,¡Hasta mañana!,Ellos dormirán hasta la mañana.,other
54,и́ли,,or,o,Ты можешь позвонить мне сейчас и́ли позже.,Возьми с собой воду и́ли сок.,"Выбери: и́ли зеленый, или синий.",,,,You can call me now or later.,Take water or juice with you.,"Choose: either green, or blue.",Puedes llamarme ahora o más tarde.,Lleva agua o jugo contigo.,"Elige: o verde, o azul.",other
55,е́сли,,if,si,"Если ты не пойдешь, я пойду один.","Если погода плохая, отменяем пикник.","Если я учусь, я буду сдавать экзамен.",,,,"If you don't go, I'll go alone.","If the weather is bad, we'll cancel the picnic.","If I study, I will take the exam.","Si no vas, iré solo.","Si el clima es malo, cancelaremos el picnic.","Si estudio, rendiré el examen.",other
56,вре́мя,,time,tiempo,Сколько времени тебе потребуется?,Теперь не время для шуток.,Времени на раздумья почти не осталось.,,,,How much time do you need?,Now is not the time for jokes.,There's almost no time for contemplation.,¿Cuánto tiempo necesitas?,Ahora no es tiempo para bromas.,Casi no queda tiempo para la reflexión.,noun
57,рука́,,hand,mano,Он держал в руке мяч.,Она протянула мне руку.,У нее были холодные руки.,,,,He was holding a ball in his hand.,She reached out her hand to me.,She had cold hands.,Él sostenía una pelota en la mano.,Ella me tendió la mano.,Tenía las manos frías.,noun
58,нет,,no,no,Нет времени на разговоры.,Здесь нет обмана.,"Они сказали ""нет"" приглашению.",,,,No time for chatting.,There is no deceit here.,"They said ""no"" to the invitation.",No hay tiempo para charlar.,Aquí no hay engaño.,"Dijeron ""no"" a la invitación.",other
59,са́мый,,the most,el más,Это самый интересный фильм.,Она сделала самое вкусное блюдо.,Самому важному человеку все прощается.,,,,This is the most interesting film.,She made the most delicious dish.,The most important person can be forgiven.,Esta es la película más interesante.,Ella hizo el plato más delicioso.,Al más importante se le puede perdonar.,adjective
60,ни,,neither,ni,"Он ни позвонил, ни написал мне.",Она никуда не пошла.,Я не увидел ни одного человека.,,,,He neither called nor wrote to me.,She didn't go anywhere.,I didn't see a single person.,Ni llamó ni escribió.,Ella no fue a ningún lugar.,No vi a ni una persona.,other
61,стать,,to become,volverse,Он становится успешным предпринимателем.,Они стали учеными.,Она стала известной певицей.,,,,He is becoming a successful entrepreneur.,They became scientists.,She became a famous singer.,Él se está convirtiendo en un empresario exitoso.,Ellos se convirtieron en científicos.,Ella se convirtió en una cantante famosa.,verb
62,большо́й,,big,grande,У меня есть больша́я семья.,Это бы̀л огроме́нный уси́лие.,Он облада́ет большо́й си́лой.,,,,I have a big family.,It was a huge effort.,He has great strength.,Tengo una familia grande.,Fue un esfuerzo enorme.,Él tiene gran fuerza.,adjective
63,да́же,,even,incluso,"Он не пришёл на важное событие, да́же ему позвонили.","Я купил трёх билета, а странный парень взял да́же четвёртый.","Я не знаю, куда девался домашний ключ, его не было да́же в кармане.",,,,"He didn't come to the important event, even though they called him.","I bought three tickets, and the weird guy took even a fourth one.","I don't know where the house key went, it wasn't even in my pocket.","No asistió al evento importante, incluso le llamaron.","Compré tres boletos, y el chico raro tomó incluso un cuarto.","No sé dónde está la llave de la casa, ni siquiera estaba en mi bolsillo.",other
64,друго́й,,other,otro,У меня есть другая идея.,Они живут на другой улице.,Другое время - другое мнение.,,,,I have another idea.,They live on the other street.,"Different time, different opinion.",Tengo otra idea.,Ellos viven en otra calle.,"Otro tiempo, otra opinión.",other
65,наш,,our,nuestro,Ты видел нашу машину?,У нас есть наша тайна.,Он присоединился к нашему кругу.,,,,Have you seen our car?,We have our secret.,He joined our group.,¿Has visto nuestro coche?,Tenemos nuestro secreto.,Se unió a nuestro grupo.,pronoun
66,свой,,own,propio,Она сделала свою работу быстро.,У него было свое мнение.,Замок был в своей пачке.,,,,She did her work quickly.,He had his own opinion.,The key was in its pack.,Ella hizo su trabajo rápidamente.,Él tenía su propia opinión.,La llave estaba en su empaque.,pronoun
67,ну,,well,bueno,"Ну, ты знаешь, это не так уж плохо.","Ну, пойдем куда-нибудь.","Ну, давай, не стой на месте.",,,,"Well, you know, it's not that bad.","Well, let's go somewhere.","Come on, don't just stand there.","Bueno, ya sabes, no es para tanto.","Bueno, vamos a algún lado.","Venga, no te quedes ahí parado.",other
68,под,,under,debajo,Она поставила книгу под стол.,Они гуляли под луной.,Вода бурлит под крышей.,,,,She put the book under the table.,They walked under the moon.,The water boils under the roof.,Ella puso el libro debajo de la mesa.,Ellos pasearon debajo de la luna.,El agua hierve debajo del techo.,other
69,где,,where,dónde,Где ты находишься сейчас?,"Я не знаю, где моя книга.","Подскажи мне, где ближайший магазин.",,,,Where are you right now?,I don't know where my book is.,Tell me where the nearest store is.,¿Dónde estás ahora?,No sé dónde está mi libro.,Dime dónde está la tienda más cercana.,adverb
70,де́ло,,matter,asunto,Это де́ло решено.,Он любит заниматься своим де́лом.,Делу время.,,,,This matter is settled.,He likes to mind his own business.,There is time for everything.,Este asunto está resuelto.,Le gusta ocuparse de sus asuntos.,"Al mal tiempo, buena cara.",noun
71,есть,,to have,tener,Она имеет много друзей.,Мы имеем возможность помочь.,Вчера у нас было время на прогулку.,,,,She has many friends.,We have the opportunity to help.,Yesterday we had time for a walk.,Ella tiene muchos amigos.,Tenemos la oportunidad de ayudar.,Ayer tuvimos tiempo para pasear.,verb
72,сам,,self,mismo,Он построил дом своими самыми руками.,Она нашла ключи сама.,Она обучается сама по справочнику.,,,,He built the house with his own hands.,She found the keys herself.,She is self-teaching with a guidebook.,Él construyó la casa con sus propias manos.,Ella encontró las llaves ella misma.,Ella está autoenseñándose con un manual.,pronoun
73,раз,,time,vez,Я посетил это место один раз.,Сегодня у меня есть свободное время.,Ему не хватило времени на подготовку.,,,,I visited this place one time.,I have free time today.,He didn't have time to prepare.,Visitó este lugar una vez.,Hoy tengo tiempo libre.,No tuvo tiempo para prepararse.,noun
74,что́бы,,in order to,para que,"Я учусь рано утром, что́бы быть готовым к экзамену.","Он занимается спортом, чтобы оставаться в форме.","Она экономит деньги, чтобы путешествовать.",,,,I study early in the morning in order to be prepared for the exam.,He exercises to stay fit.,She saves money to travel.,Estudio temprano en la mañana para estar preparado para el examen.,Él hace ejercicio para mantenerse en forma.,Ella ahorra dinero para viajar.,other
75,два,,two,dos,У меня есть два брата.,Я купил две книги.,Осталось всего два дня.,,,,I have two brothers.,I bought two books.,There are only two days left.,Tengo dos hermanos.,Compré dos libros.,Solo quedan dos días.,numeral
76,там,,there,allí,Я вижу его там.,"Они пойдут туда, а мы - в другое место.","Находясь там, я почувствовал спокойствие.",,,,I see him there.,"They will go there, and we will go elsewhere.","Being there, I felt calm.",Lo veo allí.,"Ellos irán allí, y nosotros iremos a otro lugar.","Estando allí, me sentí tranquilo.",adverb
77,чем,,than,que,"Она гораздо лучше тебя во всем, чем в спорте.","У него нет ничего более важного, чем семья.","Она говорила быстрее, чем он думал.",,,,She is much better than you in everything.,He has nothing more important than family.,She spoke faster than he thought.,Ella es mucho mejor que tú en todo.,Él no tiene nada más importante que la familia.,Ella hablaba más rápido de lo que él pensaba.,pronoun
78,глаз,,eye,ojo,У нее зеленый глаз.,У него карие глаза.,Мой глаз зудит.,,,,She has green eyes.,He has brown eyes.,My eye is itching.,Ella tiene ojos verdes.,Él tiene ojos marrones.,Mi ojo está picando.,noun
79,жизнь,,life,vida,Познание мира - это процесс постижения жизни.,Моя жизнь полна событиями.,Он ценит каждую минуту своей жизни.,,,,Understanding the world is a process of grasping life.,My life is full of events.,He values every minute of his life.,Entender el mundo es un proceso de comprensión de la vida.,Mi vida está llena de eventos.,Él valora cada minuto de su vida.,noun
80,пе́рвый,,first,primero,Это мой первый день на новой работе.,Он выиграл свой первый матч.,Она прочитала первую главу книги.,,,,This is my first day at the new job.,He won his first match.,She read the first chapter of the book.,Este es mi primer día en el nuevo trabajo.,Él ganó su primer partido.,Ella leyó el primer capítulo del libro.,numeral
81,день,,day,día,Сегодня у меня был насыщенный день.,Вчера был дождливый день.,Завтра обещают солнечный день.,,,,Today I had a busy day.,Yesterday was a rainy day.,Tomorrow they predict a sunny day.,Hoy tuve un día ocupado.,Ayer fue un día lluvioso.,Mañana pronostican un día soleado.,noun
82,тут,,here,aquí,Я живу тут уже много лет.,Я был тут в прошлом месяце.,Мы встретимся тут в следующий раз.,,,,I have been living here for many years.,I was here last month.,We will meet here next time.,Llevo viviendo aquí muchos años.,Estuve aquí el mes pasado.,Nos veremos aquí la próxima vez.,adverb
83,во,,in,en,Я живу во Франции.,Он приехал во время.,Мы поговорим во время встречи.,,,,I live in France.,He arrived on time.,We will talk during the meeting.,Vivo en Francia.,Llegó a tiempo.,Hablaremos durante la reunión.,other
84,ничто́,,nothing,nada,У неё в жизни нет ничего́ лёгкого.,Он не нашел ничего́ важного.,Ничто́ не вечно под луной.,,,,She has nothing easy in her life.,He didn't find anything important.,Nothing lasts forever under the moon.,No tiene nada fácil en su vida.,Él no encontró nada importante.,Nada es eterno bajo la luna.,pronoun
85,пото́м,,later,después,"Я поеду в магазин, а пото́м пойду в парк.",Пото́м мы встретимся на встрече.,"Я закончу свою работу, и пото́м отдохну.",,,,"I will go to the store, and later I will go to the park.","Later, we will meet at the gathering.","I will finish my work, and then relax.",Iré a la tienda y después iré al parque.,Después nos encontraremos en la reunión.,Terminaré mi trabajo y luego descansaré.,adverb
86,о́чень,,very,muy,Он о́чень умный.,У нее о́чень красивая улыбка.,О́чень важно быть внимательным.,,,,He is very smart.,She has a very beautiful smile.,It is very important to be attentive.,Él es muy inteligente.,Ella tiene una sonrisa muy bonita.,Es muy importante ser atento.,adverb
87,со,,with,con,Я пошел гулять со своей собакой.,Она поговорила со знакомым.,Я согласился с его мнением.,,,,I went for a walk with my dog.,She talked with an acquaintance.,I agreed with his opinion.,Salí a pasear con mi perro.,Ella habló con un conocido.,Estuve de acuerdo con su opinión.,other
88,хоте́ть,,to want,querer,Она всегда хо́чет путеше́ствовать.,Вы хоти́те учи́ться новому.,Они хоте́ли пое́хать в путеше́ствие.,,,,She always wants to travel.,You want to learn something new.,They wanted to go on a trip.,Ella siempre quiere viajar.,Ustedes quieren aprender algo nuevo.,Ellos querían ir de viaje.,verb
89,ли,,whether,si,"Я спрошу ее, придет ли она на вечеринку.","Подскажи, знаешь ли ты ответ.",Хочешь ли ты пойти гулять с нами?,,,,I will ask her whether she will come to the party.,Tell me whether you know the answer.,Do you want to go out with us?,Le preguntaré si vendrá a la fiesta.,Dime si sabes la respuesta.,¿Quieres salir con nosotros?,other
90,при,,at,en,Я увидел его при входе в магазин.,Она пригласила друзей на вечеринку.,Они были встречены радостными признаниями.,,,,I saw him at the entrance to the store.,She invited friends to the party.,They were greeted with joyful acknowledgments.,Lo vi al entrar en la tienda.,Ella invitó a amigos a la fiesta.,Fueron recibidos con alegres reconocimientos.,other
91,голова́,,head,cabeza,У нее болела голова.,Мне нужно принять головные уборы на прогулку.,Его голова была в облаках.,,,,She had a headache.,I need to grab some hats for the walk.,His head was in the clouds.,Ella tenía dolor de cabeza.,Necesito agarrar algunos sombreros para el paseo.,Su cabeza estaba en las nubes.,noun
92,на́до,,must,necesario,Мне на́до выучить русский язык.,На́м на́до быть внимательными.,На́м на́до принять это.,,,,I must learn Russian.,We must be attentive.,We must accept this.,Necesito aprender ruso.,Debemos ser atentos.,Debemos aceptar esto.,other
93,без,,without,sin,Я не могу жить без воды.,Она пошла в школу без зонта.,Он пришел без приглашения.,,,,I can't live without water.,She went to school without an umbrella.,He came without an invitation.,No puedo vivir sin agua.,Ella fue a la escuela sin paraguas.,Él vino sin una invitación.,other
94,ви́деть,,to see,ver,Ты видишь красивый пейзаж?,Вы видите эту здание?,Я видел новый фильм вчера.,,,,Do you see a beautiful landscape?,Do you see this building?,I saw a new movie yesterday.,¿Ves un paisaje hermoso?,¿Ven este edificio?,Vi una película nueva ayer.,verb
95,идти́,,to go,ir,Ты идешь домой каждый день.,Мы идем в парк по выходным.,Вчера я пошел в магазин.,,,,You go home every day.,We go to the park on weekends.,Yesterday I went to the store.,Tú vas a casa todos los días.,Nosotros vamos al parque los fines de semana.,Ayer fui a la tienda.,verb
96,тепе́рь,,now,ahora,Мы можем начать уже вот и прямо теперь.,Теперь же все будет по-другому.,Займемся этим делом сейчас и теперь.,,,,We can start right here and now.,Now everything will be different.,Let's do this right now.,Podemos empezar justo ahora y aquí.,Ahora todo será diferente.,Hagamos esto ahora mismo.,adverb
